id,name,game_slug,price,release_date,platform,description,developer,publisher,genres
e31321db733a40d29cc0640b524dfa00,NBA 2K21,nba-2k21,5999,2021-05-20T15:00:00.000Z,Windows,"NBA 2K21 is the latest release in the world-renowned, best-selling NBA 2K series. With exciting improvements upon its best-in-class gameplay, competitive and community online features, and deep, varied game modes, NBA 2K21 offers one-of-a-kind immersion into all facets of NBA ...",Visual Concepts,2K,"SPORTS,CO_OP,MULTIPLAYER"
69660a391b16453cbf22148ac86ad55d,Mayhem in Single Valley,mayhem-in-single-valley,1499,2021-05-20T17:00:00.000Z,Windows,"In this fast-paced, puzzle-loaded action adventure, you’ll juggle housework, zombie hoards, family dinners and radioactive squirrels! Oh, and you have to prevent the end of the world while keeping everyone from finding out it was all your fault.",Fluxscopic Ltd.,tinyBuild,"ACTION,ADVENTURE,INDIE"
fd05ded73f7944798434bd7ee7b39e9c,Just Die Already,just-die-already,1499,2021-05-20T17:00:00.000Z,Windows,Just Die Already is an old people mayhem sandbox game created by the designers of Goat Simulator. You are old and angry and you've just been kicked out of your retirement home. How will you survive in a world that wants you to Just Die Already?,DoubleMoose,Curve Digital,"ADVENTURE,OPEN_WORLD,COMEDY"
68716bdfd1694a47836e345b6a001995,Wanna Survive,wanna-survive,1499,2021-05-21T07:00:00.000Z,Windows,"A challenging strategy/tactics game with streamlined turn-based combat in a zombie apocalypse. Meet fellow survivors, guide them through a variety of unique combat scenarios and try to keep them alive until they reach their goal: the city of Borealis!",PINIX Games,"Nicalis, Inc.","STRATEGY,ADVENTURE,RPG"
0cdaaac2e9744112803c58efa0b0b185,Chicken Police - Paint it Red!,chicken-police-paint-it-red,1999,2021-05-21T15:00:00.000Z,Windows,"A wild tale of love, death, chickens, and redemption! Chicken Police is a buddy-cop noir adventure with a carefully crafted world, a gritty story, and absurd humor. The game mixes classic adventure games with visual novel-style storytelling.",The Wild Gentlemen,HandyGames,"ADVENTURE,INDIE,INVESTIGATION"
725a964fc095473899047ce86e8c0276,Tennis Manager 2021,tennis-manager-2021,3999,2021-05-25T13:00:00.000Z,"Windows,Mac","Do you have what it takes to become the greatest tennis manager? Enter your academy, manage your team, schedule your tournaments, change your game plans and find out the new young guns. Take the reins, make the right decisions, become the best one!",Rebound CG.,Rebound CG.,"SPORTS,SIMULATION,EARLY_ACCESS"
2126c0293dba49dba55a309a8edb6560,BIOMUTANT,biomutant,5999,2021-05-25T17:00:00.000Z,Windows,"BIOMUTANT® is an open-world, post-apocalyptic Kung-Fu fable RPG, with a unique martial arts styled combat system allowing you to mix melee, shooting and mutant ability action.",Experiment 101,THQ Nordic,"ACTION,ADVENTURE,RPG"
e630da3c06784f199dbf4735ab9df648,GRAVEN,graven,2499,2021-05-26T17:00:00.000Z,Windows,"Action, mystery and a chance for redemption await you in the action first person puzzler GRAVEN. Explore a dark fantasy world as a wrongly convicted man of faith. Battle the horrors of humanity, the wilds and beyond using the environment, magic and armaments.",Slipgate Ironworks™,"1C Entertainment, 3D Realms","EARLY_ACCESS,SHOOTER,ACTION"
7211db8bbd88436693c1388b96e0850b,Truck Driver,truck-driver,2999,2021-05-27T07:00:00.000Z,Windows,"Build your career as a Truck Driver! Haul a wide range of cargo and make a name for yourself amongst the local community. Start from the bottom, take on jobs, buy new trucks & parts and become a respected Truck Driver!",SOEDESCO,SOEDESCO,"ADVENTURE,CASUAL,SIMULATION"
8a433ac206d446f58666788aa94aed87,Timelie - Game of the Year Edition,timelie,1799,2021-05-28T15:00:00.000Z,Windows,"Timelie is a stealth puzzle adventure where you control time like a media player. Perceive future events to plan your strategy, sneak an enemy, and manipulate time through this journey of a mysterious cat and a little girl with a precognitive power.",Urnique Studio,Urnique Studio,"INDIE,PUZZLE,ADVENTURE"
0eb875e7cf864f53999434bc1953729f,Necromunda: Hired Gun,necromunda-hired-gun,3999,2021-05-31T22:00:00.000Z,Windows,"Become a Hired Gun. The money’s good, the dog’s loyal, and the gun’s reliable. Embark on an indie fast-paced, violent, and thrilling FPS set in the darkest reaches of Warhammer 40,000’s most infamous hive city.",Streum On Studio,Focus Entertainment,"ACTION,ADVENTURE,SINGLE_PLAYER"
dbfa7d82892f406e8ba87d31a09adcad,Stonefly,stonefly,1999,2021-06-01T13:00:00.000Z,Windows,"Harness the wind and soar through the wilderness of Stonefly, a chill and tranquil action-adventure game about self-discovery, legacy, and belonging.",Flight School Studio,MWM Interactive ,"ACTION,ADVENTURE,RPG"
1d43b9f055f846f38413d036f0cc2a04,Frostpunk,frostpunk,2999,2021-06-03T15:00:00.000Z,Windows,"Frostpunk is the first society survival game. As the ruler of the last city on Earth, you have to manage its infrastructure and people to ensure your society's survival. What will you do when pushed to breaking point? Who will you become in the process?",11 bit studios,11 bit studios,"SURVIVAL,STRATEGY,CITY_BUILDER"
34b98e67a8a34ab2a17687e15cfd2a1a,Slipways,slipways,1699,2021-06-03T15:00:00.000Z,"Windows,Mac",Weave isolated planets into a vast trade empire. Hatch plans. Research game-breaking technologies. Still be done in time for lunch. Enjoy the endless possibilities of a space grand strategy game in 60 minutes flat.,Beetlewing,Beetlewing,STRATEGY
42864c360cb7442487f23f12cf1d1ebe,Edge Of Eternity,edge-of-eternity,2999,2021-06-08T15:00:00.000Z,Windows,Wage epic turn-based battles as you follow Daryon and Selene on their quest to find a cure to the all-consuming Corrosion in this grand tale of hope and sacrifice.,Midgar Studio,Dear Villagers,"RPG,OPEN_WORLD,STRATEGY"
6e57639bc193428d892a39cb86effe13,Trials of Fire,trials-of-fire,1999,2021-06-09T15:00:00.000Z,Windows,"A Tactical, DeckBuilding Roguelite. Choose 3 Heroes and adventure into a post-Cataclysmic wasteland. Engage enemies in a meld of card-play and tactical combat. Level up & scavenge what you can to customise your decks and build a party to take on any challenge!",Whatboy Games,Whatboy Games,"STRATEGY,FANTASY,ROGUE_LITE"
56f3a910b1c74a399df1f0388da11753,Open Country,open-country,1499,2021-06-10T15:00:00.000Z,Windows,"Ok, Scout, it's time to show us what you’re made of. Prove to yourself that you can break free from your city life and live like a real outdoorsman.  The wilderness isn’t for the faint of heart, but if you work hard, hone your hunting and crafting skills, learn how to use the ...",FunLabs,505 Games,SINGLE_PLAYER
79166392ea484758b973ddd5cd9e60e8,Chicory: A Colorful Tale,chicory-a-colorful-tale,1999,2021-06-10T18:30:00.000Z,Windows,"A top-down adventure game in a coloring book world full of vibrant characters. Use painting powers to explore, solve puzzles, make friends, and draw on anything! From creators on Wandersong & Celeste.",Team Chicory,Finji,"ADVENTURE,EXPLORATION,ACTION,SINGLE_PLAYER,CO_OP"
67679df14cde44fbbf295f60a74954f9,Beasts of Maravilla Island,beasts-of-maravilla-island,999,2021-06-12T16:00:00.000Z,Windows,"Beasts of Maravilla Island is a 3D adventure game where you take on the role of a young wildlife photographer who traverses Maravilla Island's magical ecosystems to discover extraordinary creatures, learn their behaviors, and photograph their majesty.",Banana Bird Studios,Whitethorn Games,"INDIE,ADVENTURE,CASUAL"
50ad2ebf631c4704bdc9bafe004f8538,Luna's Fishing Garden,lunas-fishing-garden,799,2021-06-16T16:00:00.000Z,Windows,"Luna's Fishing Garden is a cozy fishing and building game. Catch fish, trade it in and create the garden of your dreams by planting new trees, placing water objects and bringing animals to the archipelago.",Coldwild Games,Coldwild Games,"CASUAL,EXPLORATION,SIMULATION"
1786c8d9cd474bef9ce221929411633f,Hell is other demons,hell-is-other-demons,999,2021-06-17T15:00:00.000Z,"Windows,Mac","Hell is Other Demons is an action-platform shooter, with Roguelite elements. Explore a sprawling, hand-crafted world full of demons, insanely over-the-top boss fights, and a heavy synthwave soundtrack.",Cuddle Monster Games,Kongregate,"ROGUE_LITE,SHOOTER,PLATFORMER"
0fd170f41c284239a6a6e0be2df3b8e5,Overcooked! 2,overcooked-2,2499,2021-06-17T15:00:00.000Z,Windows,Overcooked returns with a brand-new helping of chaotic cooking action! Journey back to the Onion Kingdom and assemble your team of chefs in classic couch co-op or online play for up to four players. Hold onto your aprons … it’s time to save the world (again!),Ghost Town Games and Team17 Digital Ltd,Team17 Digital Ltd,"CO_OP,MULTIPLAYER,SIMULATION"
c46e9b1010da4611a1ffe6312a6b0431,Doctor Who: The Lonely Assassins,doctor-who-the-lonely-assassins,599,2021-06-18T13:00:00.000Z,Windows,"From the award-winning creators of Sara is Missing & SIMULACRA, Doctor Who: The Lonely Assassins is a thrilling found-phone mystery. Uncover an all new horror story that builds on the terrifying legacy of the Weeping Angels.",Kaigan Games,Maze Theory ,"INDIE,ADVENTURE,PUZZLE"
d3aab3ad521149a59ed4df4f48dd02c0,Pascal's Wager: Definitive Edition,pascals-wager,1999,2021-06-23T15:00:00.000Z,Windows,"Pascal's Wager: Definitive Edition is a challenging action role playing game set in a world of dark fantasy. Step into the shoes of Couriers, as they discover the tale behind the mysterious Dark Mist.",TipsWorks,Giant Mobile,"ACTION,SINGLE_PLAYER,RPG"
b283a8c54ea14a579598942f3c2b7f20,Worms Rumble,worms-rumble,1499,2021-06-23T18:00:00.000Z,Windows,"Worms Rumble is Worms like you’ve never played it before, with intense, real-time, arena-based 32 player cross-platform combat. Get ready for Deathmatch and Last Worm Standing modes where you’re only ever a Holy Hand Grenade away from death!",Team17,Team17,"MULTIPLAYER,BATTLE_ROYALE,STRATEGY"
8d50972d297f448cb3718d6e8094327a,Sonic Mania,sonic-mania,1999,2021-06-24T15:00:00.000Z,Windows,"The ultimate celebration of past and future. An all-new adventure full of unique bosses, rolling 2D landscapes, and fun classic gameplay. Sonic Mania brings retro fast-paced platforming into the future through pixel perfect 2D graphics running at 60FPS.",Lab42,SEGA,"ACTION,CO_OP,PLATFORMER"
5ad56a6ec55a4302a01de43607d3e606,Asemblance,asemblance,799,2021-06-25T15:00:00.000Z,Windows,"You wake to find yourself trapped inside an experimental machine... A machine built to simulate memories. You no longer recall why you entered, but an AI voice guides you. Trying to escape, you face memories from a past you may not want to remember.",Nilo Studios,Nilo Studios,"INDIE,SINGLE_PLAYER,INVESTIGATION"
dfae164155c84664b9040dd802bb2669,Sherlock Holmes: The Devil's Daughter,sherlock-holmes-the-devils-daughter,2999,2021-06-25T15:00:00.000Z,Windows,"Sherlock Holmes: The Devil’s Daughter is a fantastic adventure with unique gameplay that blends investigation, action and exploration for an extraordinary experience that will test the limits of your nerves and intelligence.  Track down evil in the darkest corners of London an...",Frogwares,Frogwares,"ACTION,ADVENTURE,INVESTIGATION"
d4929ecf15d446d0b4ff4f0eaa3826a0,Warface,warface,0,2021-06-29T09:00:00.000Z,Windows,"Warface is a contemporary MMO first person shooter with millions of fans around the world. It offers intense PvP modes, compelling PvE missions and raids that you can challenge with five diverse classes as well as colossal customizable arsenal.",Allods Team,MY.GAMES,"FPS,SHOOTER,MULTIPLAYER"
76cd108ce4354545bd825e181262dbad,Doki Doki Literature Club Plus!,doki-doki-literature-club-plus,1499,2021-06-30T16:00:00.000Z,"Windows,Mac OS",Welcome to the club! Write poems for your crush and experience the terror of school romance in this critically-acclaimed psychological horror story.,Team Salvato,Serenity Forge,"HORROR,INDIE,SINGLE_PLAYER"
9818340358a04e39a49a8bb984229d98,The Count Lucanor,the-count-lucanor,999,2021-06-30T17:00:00.000Z,Windows,"Pixel adventure inspired by classics like Zelda and Silent Hill. The Count Lucanor is an amazing mystery and horror adventure set in a fairytale world. The game features important choices, alternative endings, secrets and different ways to solve puzzles.",Baroque Decay,Neon Doctrine,"HORROR,SURVIVAL,STEALTH"
8fbe88b117a34cce8abf827cf6f38a33,Yuppie Psycho: Executive Edition,yuppie-psycho,1699,2021-06-30T17:00:00.000Z,Windows,"Join Brian Pasternack on his first working day at Sintracorp. Uncertain, unprepared, and massively unqualified, will he have what it takes to shine in Sintracorp’s hierarchy? It all depends on how he performs on his first assignment…and whether he survives it.",Baroque Decay,Neon Doctrine,"HORROR,EXPLORATION,SURVIVAL"
2048b7fdff7a47d3831814c0b7f8ec49,NecroLand: Undead Corps,necroland-undead-corps,999,2021-06-30T17:00:00.000Z,Windows,"In NecroLand: Undead Corps, you compete in online battle royale action to be the last survivor in a zombie-filled wasteland. You control an Alpha Unit that can “tame” legions of wandering undead and add them to your squadron of allies who obey your commands.",JANUS LABS,"Nicalis, Inc.","COMPETITIVE,MULTIPLAYER,ACTION"
2cb68a86262b4e0a91dbe0625cbbb242,The Spectrum Retreat,the-spectrum-retreat,1299,2021-07-01T15:00:00.000Z,Windows,"Check-in to The Spectrum Retreat for a stay you won’t forget. Explore the pristine and uncanny hotel, The Penrose, while solving its ingenious colour-coded puzzles and discovering the reasons behind their seemingly never-ending stay.",Dan Smith,Ripstone,"ADVENTURE,STRATEGY,PUZZLE"
d79986f917c24134b226738c2d7a6369,Ys IX: Monstrum Nox,ys-ix-monstrum-nox,5999,2021-07-06T17:00:00.000Z,Windows,"While imprisoned in Balduq, Adol is cursed and becomes a Monstrum. With his newfound powers, he must stop the Grimwald Nox from consuming the city.",Nihon Falcom,"NIS America, Inc.","ACTION,RPG,SINGLE_PLAYER"
d78802b5a3fd4b188ff865f0e55a0222,Crash Drive 3,crash-drive-3,1999,2021-07-08T08:00:00.000Z,Windows,"Drive monster trucks, tanks and more amazing vehicles across a huge open world in this cross-platform multiplayer, free-roaming game! Level up, play events, earn cash, unlock new cars and discover secrets....",M2H,M2H,"MULTIPLAYER,OPEN_WORLD,RACING"
ebd68982da314aaf96707a63c6342e6a,Boomerang X,boomerang-x,1999,2021-07-08T15:00:00.000Z,Windows,"Harness the power of a mystical boomerang to fling yourself through the air. Slice, fly, and blast through arenas swarming with evil creatures. Stay agile or meet your doom.",DANG!,Devolver Digital,"ACTION,INDIE,FPS"
397d1ab85db34e7a8dfd943b51c1c6a5,Ironcast,ironcast,1499,2021-07-08T15:00:00.000Z,Windows,"Ironcast is inspired by Victorian-era science fiction, set in an exciting alternative history; a time when refined men and women in top hats and bonnets commanded gigantic walking war machines, laying waste to the enemies of the British Empire.",Dreadbit Games,Ripstone,"RPG,STRATEGY,INDIE"
0d0066ee2bdd40feab491b76f5387a5b,Crystal Crisis,crystal-crisis,1999,2021-07-08T15:00:00.000Z,Windows,"An all-star cast of heroes test their mettle in this cute and chaotic color-matching online fighting game! In Crystal Crisis, players attack by arranging falling crystals and clearing them from the screen. It’s the ultimate online puzzle battle throwdown!","Nicalis, Inc.","Nicalis, Inc.","ARCADE,COMPETITIVE,PUZZLE"
3e4df039772c47999a1b0769e847ea94,Swords of Legends Online,swords-of-legends-online,0,2021-07-09T12:00:00.000Z,Windows,"MMORPG set in a breathtaking fantasy world with sophisticated combat mechanics and a unique storyline based on Chinese mythology. Explore the world with 8 different classes, epic PvP encounters, take on challenging dungeons and reach the fascinating endgame.",Wangyuan Shengtang Entertainment Technology CO.,Gameforge 4D GmbH,"MULTIPLAYER,ACTION,RPG"
1097a7b8a4b04bb38ebe11e960edcf58,Black Skylands,black-skylands,1999,2021-07-09T16:00:00.000Z,Windows,"Build your skyship and explore the open world, fight factions of pirates and monsters, claim your territory by foot or by your flying vessel. You're the captain and the sky is the limit in this skypunk Open World action adventure!",Hungry Couch Games,tinyBuild,"ACTION,INDIE,ADVENTURE"
7ca5ffaf28e0442c9418c4fba998b17b,Claire de Lune,claire-de-lune,3999,2021-07-12T14:00:00.000Z,Windows,"Claire de Lune is a story-driven puzzle adventure game set in a science fiction universe. You play as John, who must use his ingenuity, agility, and his trusty Nanogun to navigate a treacherous planet surface and the mysterious research facility found there.",Tactic Studios,Tactic Studios,"PLATFORMER,PUZZLE,ADVENTURE"
af216841e35240bfb60ddaa0e5da4c11,The Chameleon,the-chameleon,999,2021-07-13T14:00:00.000Z,Windows,"A tense stealth game with super-powers, filled with glorious fat pixels. Transform into your enemies, dash, teleport, slow time and super-punch your way through this moody retro stealth game.",Merlino Games,Merlino Games,"STEALTH,ACTION,INDIE"
f412a62233cd4f9783b6e18bcd90bcad,The Uncertain: Light at the End,the-uncertain-light-at-the-end,999,2021-07-13T15:00:00.000Z,Windows,"The Uncertain is a story-driven adventure game set in a post-apocalyptic world. Humanity disappeared from the face of the Earth and has been replaced by robots. Together with Emily, one of the outcasts, you will have to survive in a world ruled by robots.",New Games Order,META Publishing,"ADVENTURE,INVESTIGATION,PUZZLE"
1d116f6b6e2445699d1ef5a1e70f33fc,Dream Engines: Nomad Cities,dream-engines-nomad-cities,2999,2021-07-14T14:00:00.000Z,Windows,"A survival city-building game with flying cities. Build, automate, and defend a flying city to survive in a wacky, nightmare-infested, post-apocalyptic world full of strange science and dreams.",Suncrash,Suncrash,"CITY_BUILDER,BASE_BUILDING,SURVIVAL"
cc789763c7b74d7a98e00e4f8edc0894,SpellForce 3: Soul Harvest,spellforce-3-soul-harvest,1999,2021-07-16T16:00:00.000Z,Windows,"Three years after the Purity Wars, Nortander is on the cusp of a new era.  While a hatemonger threatens to tear apart the Dwarven realm, an enigmatic cult of Dark Elves harvests the souls of people for reasons unknown.",Grimlore Games,THQ Nordic,"STRATEGY,RPG,BASE_BUILDING"
132a0780b11d4cdf8932a239ce86aa4b,Cris Tales,cris-tales,3999,2021-07-20T13:00:00.000Z,Windows,"Experience Past, Present, and Future simultaneously in this gorgeous, indie love letter to classic JRPGs","Dreams Uncorporated, SYCK",Modus Games,"RPG,INDIE,ADVENTURE"
fe25372005a64796a61dd122fb6e2b7f,Northgard,northgard,2999,2021-07-21T14:00:00.000Z,Windows,Northgard is a strategy game based on Norse mythology in which you control a clan of Vikings vying for the control of a mysterious newfound continent.,Shiro Games,Shiro Games,"CO_OP,SINGLE_PLAYER,MULTIPLAYER"
941ca022b64742e0a089f2409ed286d4,The Banner Saga Epic Trilogy,the-banner-saga-epic-trilogy,4999,2021-07-21T16:00:00.000Z,Windows,"Guide your caravan across the landscape of a breaking world, where the sun has stopped in the sky and the gods are dead. Who can you trust, how will you protect your allies and what choices will you make as the Darkness draws near?",Stoic ,Stoic,"INDIE,RPG,STRATEGY"
